,a,b,c,d,e,tess,Truth
13,T,A,Puzpo,The,pu,Puzpo,Purpose
99,15,that,deflned,1n,he,deflned,defined
100,that,deflned,1n,he,proposal,1n,in
111,of,the.Mt.,5mm,Hospltal,of,5mm,Sinai
112,the.Mt.,5mm,Hospltal,of,Clevelan,Hospltal,Hospital
114,Hospltal,of,Clevelan,1n,3,Clevelan,Cleveland
115,of,Clevelan,1n,3,letter,1n,in
124,"23,",1972.,Th1:,project,Is,Th1:,This
144,not,to,excee,"$30,000",and,excee,exceed
154,Frosolono,for,consultlng,fees,regardlng,consultlng,consulting
156,consultlng,fees,regardlng,the,research,regardlng,regarding
161,referred,to,1n,"157,",not,1n,in
162,to,1n,"157,",not,to,"157,","(a),"
167,exceed,"$3,000.",Supervlslon,Th1:,research,Supervlslon,Supervision
168,"$3,000.",Supervlslon,Th1:,research,5,Th1:,This
173,m,be,supervlsed,on,MCA'S,supervlsed,supervised
175,supervlsed,on,MCA'S,behalf,by,MCA'S,MCA's
179,by,a,Technlcal,Task,Group,Technlcal,Technical
185,of,on,technlcal,representatlve,from,technlcal,technical
186,on,technlcal,representatlve,from,each,representatlve,representative
189,from,each,subscrlblng,company,plus,subscrlblng,subscribing
201,as,secretary.,Drganlzatlonall,Within,"MCA,",Drganlzatlonall,Organizationally
209,15,to,functlon,under,the,functlon,function
212,under,the,Jurlsi,diction,of,Jurlsi,Juris­
216,of,the,afety,and,Fire,afety,Safety
219,and,Fire,Protectlon,Comnlttee.,Fundlng,Protectlon,Protection
220,Fire,Protectlon,Comnlttee.,Fundlng,Consnltments,Comnlttee.,Comnittee.
221,Protectlon,Comnlttee.,Fundlng,Consnltments,hav,Fundlng,Funding
222,Comnlttee.,Fundlng,Consnltments,hav,been,Consnltments,Consnitments
227,made,by,thlrteen,1nterested,companles,thlrteen,thirteen
228,by,thlrteen,1nterested,companles,1n,1nterested,interested
229,thlrteen,1nterested,companles,1n,support,companles,companies
230,1nterested,companles,1n,support,of,1n,in
233,support,of,thls,"research,",u,thls,this
245,be,collected,1n,advance,of,1n,in
248,advance,of,commltments.,d,dlsbursements,commltments.,"commitments,"
250,commltments.,d,dlsbursements,subject,to,dlsbursements,disbursements
258,and,approval.,Stlpulatlons,The,sclentlflc,Stlpulatlons,Stipulations
292,MCA,"only,",nomally,based,on,nomally,normally
297,Task,Force,recomi,mendatlons,as,recomi,recom­
325,nor,relevant,prlvat,cosnunlcatlon,among,prlvat,private
326,relevant,prlvat,cosnunlcatlon,among,subscrlblng,cosnunlcatlon,cosnunlcation
328,cosnunlcatlon,among,subscrlblng,companles,and,subscrlblng,subscribing
329,among,subscrlblng,companles,and,organlzatlons;,companles,companies
331,companles,and,organlzatlons;,the,staff,organlzatlons;,organizations;
345,and,communlcatlons.,Operatlon,The,Task,Operatlon,Operation
353,governed,by,MCA'S,"""General",Prlnclples,MCA'S,MCA's
355,MCA'S,"""General",Prlnclples,Appllcable,to,Prlnclples,Principles
356,"""General",Prlnclples,Appllcable,to,the,Appllcable,Applicable
382,MCA,CMA,035207,EXHIBIT,D,035207,036207
387,Report,of,Educatlon,Atlvltles,Commlttee,Educatlon,Education
388,of,Educatlon,Atlvltles,Commlttee,m,Atlvltles,Activities
402,w.,"Rahn,",Chalrman,1:,15,Chalrman,Chairman
413,last,reported,dlrectly,m,thls,dlrectly,directly
415,dlrectly,m,thls,Board.,In,thls,this
419,In,the,"1nte1m,",several,Significant,"1nte1m,","interim,"
425,have,occurred,affectlng,the,area,affectlng,affecting
428,the,area,whereln,the,Commlttee,whereln,wherein
431,the,Commlttee,functlons,7,"namely,",functlons,functions
435,"namely,",the,1ndustrlaliacadem1c,1nterface.,These,1ndustrlaliacadem1c,industrial-academic
436,the,1ndustrlaliacadem1c,1nterface.,These,1nclude:,1nterface.,interface.
438,1nterface.,These,1nclude:,£15:,7,1nclude:,include:
439,These,1nclude:,£15:,7,employment,£15:,first
442,7,employment,opportunltles,for,new,opportunltles,opportunities
445,for,new,technlcal,graduates,1n,technlcal,technical
447,technlcal,graduates,1n,the,chemlcal,1n,in
449,1n,the,chemlcal,1ndustry,shank,chemlcal,chemical
450,the,chemlcal,1ndustry,shank,to,1ndustry,industry
451,chemlcal,1ndustry,shank,to,low,shank,shrank
460,wave,of,technlcal,staff,reductlons,technlcal,technical
462,technlcal,staff,reductlons,by,job,reductlons,reductions
465,by,job,temlnatlon,ran,through,temlnatlon,termination
469,through,the,1ndustry,1n,197D,1ndustry,industry
470,the,1ndustry,1n,197D,and,1n,in
471,1ndustry,1n,197D,and,1971;,197D,1970
475,1971;,and,thlrd,7,soclety's,thlrd,third
477,thlrd,7,soclety's,attltude,toward,soclety's,society's
478,7,soclety's,attltude,toward,our,attltude,attitude
481,toward,our,ndustry,underwent,deterloratlon,ndustry,industry
483,ndustry,underwent,deterloratlon,m,where,deterloratlon,deterioration
494,of,a,negatlve,ubllc,image.,negatlve,negative
495,a,negatlve,ubllc,image.,1:,ubllc,public
500,15,most,"approprlate,","therefore,",and,"approprlate,","appropriate,"
505,I,welcome,thls,opi,portunlty,thls,this
506,welcome,thls,opi,portunlty,tn,opi,op­
507,thls,opi,portunlty,tn,revlew,portunlty,portunity
509,portunlty,tn,revlew,for,you,revlew,review
513,you,the,Commlttee's,"objectlves,",plans,Commlttee's,Committee's
514,the,Commlttee's,"objectlves,",plans,and,"objectlves,","objectives,"
517,plans,and,"actlvltles,",structured,to,"actlvltles,","activities,"
522,meet,our,asslgnment,and,responslblllty,asslgnment,assignment
524,asslgnment,and,responslblllty,m,the,responslblllty,responsibility
529,MCA,under,condltlons,so,changed,condltlons,conditions
536,past.,COMMITTEE,EDLUTIDN,The,Commltte,EDLUTIDN,EVOLUTION
538,EDLUTIDN,The,Commltte,was,flrst,Commltte,Committee
540,Commltte,was,flrst,establlshed,1n,flrst,first
541,was,flrst,establlshed,1n,the,establlshed,established
542,flrst,establlshed,1n,the,mm,1n,in
544,1n,the,mm,50':,when.,mm,mid
545,the,mm,50':,when.,as,50':,50's
546,mm,50':,when.,as,you,when.,"when,"
554,was,a,short.ge,of,graduate,short.ge,shortage
557,of,graduate,chemlsts.,The,initial,chemlsts.,chemists.
560,The,initial,objectlve,was,to,objectlve,objective
568,pursue,a,areer,1n,"chemlstry,",areer,career
569,a,areer,1n,"chemlstry,",so,1n,in
570,areer,1n,"chemlstry,",so,as,"chemlstry,","chemistry,"
579,supply,of,chemlsts,for,the,chemlsts,chemists
582,for,the,xpandlng,had:,of,xpandlng,xpanding
583,the,xpandlng,had:,of,our,had:,needs
618,technlcal,graduate,suplyidemand,studles,lad,suplyidemand,supply-demand
619,graduate,suplyidemand,studles,lad,several,studles,studies
626,members,to,predlct,that,the,predlct,predict
634,War,I,blrth,rates,would,blrth,birth
638,would,result,1n,an,oversupply,1n,in
642,oversupply,of,chemlsts,1n,the,chemlsts,chemists
643,of,chemlsts,1n,the,early,1n,in
662,of,the,chemlcal,1nustry,beglnnlng,chemlcal,chemical
663,the,chemlcal,1nustry,beglnnlng,1n,1nustry,industry
664,chemlcal,1nustry,beglnnlng,1n,"1959,",beglnnlng,beginning
665,1nustry,beglnnlng,1n,"1959,",and,1n,in
672,of,employed,chemlsts,and,chemlcal,chemlsts,chemists
674,chemlsts,and,chemlcal,englneers,w,chemlcal,chemical
706,years,of,an;,or,less,an;,age
